respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.068515083,0.201691497
26708,0.055555398090980854,0.026612386161181348
26709,0.11501184949133457,0.5706496263929168
26710,0.7495998200437864,0.9069415401297025
26711,0.26115796963114246,0.6123665924008762
26712,0.9130001568517498,0.9852340469518426
26713,0.19713326470045528,0.5710672470073422
26714,0.13928536512720133,0.1363055824825999
26715,0.019102122189087366,0.079308185
26716,0.2025455169189272,0.9252021169585048
26717,0.014146954978667218,0.45709263102021996
26718,0.1899593334220604,0.5713964691163729
26719,0.081859347,0.9548930557570662
26720,0.027447551552202944,0.25126424
26721,0.28642438634673495,0.22756784258063575
26722,0.10401724092663574,0.11634550440449605
26723,0.7590010502208965,0.9477905204784124
26724,0.035063276,0.787953465
26725,0.019697090143746494,0.039063142198429636
26726,0.034202153,0.051656454
26727,0.518041594,0.9144182283770604
26728,0.20129928195750688,0.5600191162131509
26729,0.19920194534192745,0.9647617883495475
26730,0.036032619,0.12640841634438085
26731,0.025281254,0.26225956493493224
26732,0.1065563459806137,0.079684653
26733,0.9532970661546492,0.9639478002177713
26734,0.7541078697953673,0.13978478863117458
26735,0.034028331,0.31483161116712644
26736,0.039848924,0.17858426111321624
26737,0.041360594401908785,0.11792406354859147
26738,0.8070054277163345,0.9398913269532687
26739,0.12649242522454052,0.24305226825916434
26740,0.147420106,0.064205594
26741,0.058633475620735356,0.8990342292513712
26742,0.088758552,0.4010469758479205
26743,0.030498144228390284,0.41543912662327503
26744,0.022506057,0.6946110245357768
26745,0.085425625,0.8315851351197598
26746,0.13180384422699795,0.29261673969822705
26747,0.054492282,0.1669650189062357
26748,0.12028943868950462,0.039848569
26749,0.10031026038566362,0.7370026839543194
26750,0.3597717184036287,0.8596794695668942
26751,0.5838353228225632,0.8639736346013455
26752,0.067887796,0.092227956
26753,0.2480146565864968,0.5863497955622637
26754,0.089355249,0.6603666170372945
26755,0.15474133607256718,0.2946599833557185
26756,0.020161968620417758,0.025275096
26757,0.17729549862447277,0.4588738065945264
26758,0.7187213817441628,0.7524007848636083
26759,0.021503993,0.14721847321071901
26760,0.019036936,0.071814727
26761,0.34364373866987313,0.5675699029727782
26762,0.16613710650346517,0.8691497167737408
26763,0.8784011998605712,0.9683482241764817
26764,0.9624867482671823,0.9737615350013167
26765,0.028072703,0.822319776
26766,0.067319367,0.13103316614059501
26767,0.9286070754023757,0.6306540751682542
26768,0.014758156457698486,0.41061579759495104
26769,0.069164708,0.15374470181396185
26770,0.028921201552069616,0.4512935411779848
26771,0.16985985191952394,0.10977680883660824
26772,0.030001176,0.5932450481722361
26773,0.014634506217430397,0.1634471512184312
26774,0.009931967,0.3701028287680675
26775,0.019433271,0.5014878762944891
26776,0.3998418896419957,0.3958427443425112
26777,0.072181722,0.8899804206835817
26778,0.050383833,0.028832234
26779,0.14185751272102237,0.5933655465334473
26780,0.032736900971132354,0.9396482768934425
26781,0.032156315,0.37845276889379303
26782,0.046661056,0.31500410636399984
26783,0.028937361138412547,0.29691432866774775
26784,0.10397582947730281,0.8838315026531371
26785,0.2779981115159292,0.6642023616364536
26786,0.031441822929307195,0.19664155850059217
26787,0.04694047,0.6085014422175917
26788,0.031451545,0.6520388107656034
26789,0.014548946592882351,0.1740736960805415
26790,0.018771861122815203,0.19554672530158962
26791,0.069321178,0.099480862
26792,0.070100984,0.7457308173198282
26793,0.15508642439951864,0.9653462878985051
26794,0.680187072,0.8718636227644078
26795,0.043842919,0.9764507077929203
26796,0.037300542,0.036827501
26797,0.19431431535746024,0.7525010260388264
26798,0.40657814257618935,0.17288970632337686
26799,0.19217956213724596,0.17773807331214553
26800,0.064530845,0.953078911
26801,0.17984420774882653,0.24304729470563433
26802,0.1121353715896017,0.17340363847996507
26803,0.029519526,0.12254802352519645
26804,0.081545442,0.06700838
26805,0.094294088,0.13722433369869722
26806,0.024478854849991516,0.9180649545198815
26807,0.35408511324901826,0.8648654421162294
26808,0.054713503,0.3364912417016344
26809,0.5989784421059174,0.2131881839796526
26810,0.045071302,0.058372440930375996
26811,0.018560545905143205,0.060128282
26812,0.23667974409773404,0.8709308774496799
26813,0.4555266497840553,0.2987053412779177
26814,0.020967327466444915,0.7528189163719421
26815,0.019103677575853704,0.027662365
26816,0.075610363,0.10623480986262122
26817,0.037952049,0.4893705888737989
26818,0.082932149,0.2578425963128474
26819,0.14812278641783394,0.1557542132593927
26820,0.054926673,0.1753058312335309
26821,0.1202898639480444,0.8740191784667206
26822,0.072481681,0.6698131900905526
26823,0.15885101414854513,0.35708949500469606
26824,0.015205356914310745,0.6812503981337429
26825,0.25324530532756173,0.7680453011634593
